order_id,customer_id,product,quantity,price,order_date
1,101,Phone,2,699.99,2023-01-05
2,102,Laptop,1,1199.99,2023-01-07
3,103,Tablet,3,449.99,2023-01-10
4,104,Watch,2,299.99,2023-01-12
5,105,Headphones,4,149.99,2023-01-15
6,106,Phone,1,799.99,2023-01-18
7,107,Camera,2,549.99,2023-01-20
8,108,Laptop,1,999.99,2023-01-22
9,109,Speaker,3,199.99,2023-01-25
10,110,Tablet,2,399.99,2023-01-28
11,101,Watch,1,349.99,2023-02-02
12,102,Headphones,5,129.99,2023-02-05
13,103,Phone,2,749.99,2023-02-08
14,104,Laptop,1,1299.99,2023-02-10
15,105,Camera,1,649.99,2023-02-13
16,106,Speaker,4,179.99,2023-02-15
17,107,Tablet,2,429.99,2023-02-18
18,108,Phone,3,699.99,2023-02-20
19,109,Watch,2,279.99,2023-02-23
20,110,Headphones,3,159.99,2023-02-25
21,111,Laptop,2,1099.99,2023-03-01
22,112,Phone,1,849.99,2023-03-03
23,113,Camera,3,499.99,2023-03-06
24,114,Speaker,2,219.99,2023-03-08
25,115,Tablet,4,379.99,2023-03-11
26,116,Watch,3,319.99,2023-03-13
27,117,Headphones,2,139.99,2023-03-16
28,118,Laptop,1,1149.99,2023-03-18
29,119,Phone,2,729.99,2023-03-21
30,120,Camera,1,599.99,2023-03-23
31,101,Speaker,3,189.99,2023-03-26
32,102,Tablet,2,459.99,2023-03-28
33,103,Watch,4,259.99,2023-04-01
34,104,Phone,1,779.99,2023-04-03
35,105,Laptop,1,1249.99,2023-04-06
36,106,Camera,2,529.99,2023-04-08
37,107,Speaker,5,169.99,2023-04-11
38,108,Tablet,1,419.99,2023-04-13
39,109,Watch,3,309.99,2023-04-16
40,110,Phone,2,759.99,2023-04-18
41,111,Headphones,4,144.99,2023-04-21
42,112,Laptop,2,1179.99,2023-04-23
43,113,Speaker,3,209.99,2023-04-26
44,114,Tablet,2,439.99,2023-04-28
45,115,Phone,1,819.99,2023-05-01
46,116,Camera,3,579.99,2023-05-03
47,117,Watch,2,289.99,2023-05-06
48,118,Headphones,6,134.99,2023-05-08
49,119,Laptop,1,1129.99,2023-05-11
50,120,Phone,3,709.99,2023-05-13
51,101,Camera,2,559.99,2023-05-16
52,102,Speaker,4,194.99,2023-05-18
53,103,Tablet,3,409.99,2023-05-21
54,104,Watch,1,329.99,2023-05-23
55,105,Laptop,2,1219.99,2023-05-26
56,106,Phone,2,789.99,2023-05-28
57,107,Headphones,3,154.99,2023-06-01
58,108,Camera,1,619.99,2023-06-03
59,109,Speaker,5,174.99,2023-06-06
60,110,Tablet,2,469.99,2023-06-08
61,111,Phone,1,859.99,2023-06-11
62,112,Watch,4,269.99,2023-06-13
63,113,Laptop,1,1159.99,2023-06-16
64,114,Camera,2,509.99,2023-06-18
65,115,Speaker,3,184.99,2023-06-21
66,116,Tablet,4,389.99,2023-06-23
67,117,Phone,2,739.99,2023-06-26
